Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates,,,,
Urban Poverty Alleviation,7800,Administrative Expenses,230,Petty Contingent Expenses,2208002.0,170.6,0.0,222.43,0.0,252.07,0.0,0.0,0.0,0.0,0.0,,,,
Urban Poverty Alleviation,7800,Operation & Maintenance,230,"Mapping, Plotting & Drawing Expenses",2308005.0,1.42,60.0,40.0,0.90898,44.0,20.0,0.0,5.0,5.0,6.0,,,,
Urban Poverty Alleviation,7800,Programme Expenses,250,Community Organisation/Mobilisation/Capacity Building/Training,2502007.0,295.17,900.0,650.0,503.0041,5000.0,2100.0,408.49,800.0,349.0,515.2,,,,
Urban Poverty Alleviation,7800,Programme Expenses,250,Aasara for Old Age Senior Citizens Programme Expenses,2502011.0,13.32,100.0,159.22,11.25092,192.97,0.0,11.05,1000.0,204.0,470.5,,,,
Urban Poverty Alleviation,7800,Programme Expenses,250,Vikasam (Disable Welfare Programme),2502013.0,0.0,0.0,365.0,636.88485,956.0,2000.0,1.0,1000.0,412.0,500.0,,,,
Urban Poverty Alleviation,7800,Programme Expenses,250,Night Shelter,2502014.0,0.0,0.0,200.0,18.08006,1000.0,0.0,6.21,0.0,33.0,29.2,,,,
Urban Poverty Alleviation,7800,Programme Expenses,250,Disbursements to T&S / DWCUA & Self Help Groups Under SJSRY,2503003.0,322.75,350.0,370.0,0.0,503.05,0.0,0.0,1200.0,324.0,331.0,,,,
Urban Poverty Alleviation,7800,Programme Expenses,250,MEPMA,2503005.0,218.93,1760.0,1050.0,0.0,1558.91,0.0,32.25,600.0,161.0,511.0,,,,
Total for Urban Poverty Alleviation (7800),,,,,,1651.65,3786.08,3546.65,1616.49135,10029.0,4747.0,859.05,5203.0,2495.59,3433.36,,,,
Tax Revenue,9100,Establishment Expenses,210,Basic Pay,2101001.0,547.24,615.97,550.0,624.35549,550.0,780.0,657.76,800.0,1367.82,1462.82,,,,
Tax Revenue,9100,Establishment Expenses,210,Dearness Allowance,2101002.0,268.14,247.58,170.0,375.17251,180.0,515.0,467.34,480.0,269.88,314.88,,,,
Tax Revenue,9100,Establishment Expenses,210,House Rent Allowance,2101003.0,159.1,180.38,150.0,182.53629,150.0,200.0,181.28,210.0,123.92,139.52,,,,
Tax Revenue,9100,Establishment Expenses,210,CCA,2101004.0,13.51,29.6,20.0,15.192,20.0,22.0,18.27,27.0,25.2,26.2,,,,
Tax Revenue,9100,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,1.14,5.63,2.0,17.77343,2.0,40.0,85.37,40.0,107.84,112.84,,,,
Tax Revenue,9100,Establishment Expenses,210,Interim Relief,2101006.0,0.35,9.05,10.0,16.14667,10.0,65.0,71.94,60.0,11.48,9.72,,,,
Tax Revenue,9100,Establishment Expenses,210,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,301.43,0.0,355.11,374.41,,,,
Tax Revenue,9100,Establishment Expenses,210,Family Pension,2103002.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,34.0,55.0,,,,
Tax Revenue,9100,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051.0,0.45,0.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
Tax Revenue,9100,Administrative Expenses,220,Consultancy Charges,2205201.0,0.0,0.17,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
Total for Tax Revenue (9100),,,,,,989.93,1088.53,904.0,1231.17639,914.0,1622.0,1784.73,1617.0,2295.25,2495.39,,,,
Advertisement,9300,Establishment Expenses,210,Basic Pay,2101001.0,43.63,35.0,30.0,58.83375,30.0,96.0,43.85,91.0,49.87,79.79,,,,
Advertisement,9300,Establishment Expenses,210,Dearness Allowance,2101002.0,21.49,10.0,10.0,31.93411,10.0,60.0,32.65,48.0,35.18,19.95,,,,
Advertisement,9300,Establishment Expenses,210,House Rent Allowance,2101003.0,12.07,10.0,10.0,17.2619,10.0,25.0,12.82,18.0,21.2,23.94,,,,
Advertisement,9300,Establishment Expenses,210,CCA,2101004.0,1.04,1.0,1.0,1.39078,1.0,10.0,0.97,7.0,1.5,3.0,,,,
Advertisement,9300,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,0.45,1.0,1.0,2.9272,1.0,8.0,3.59,10.0,5.0,5.0,,,,
Advertisement,9300,Establishment Expenses,210,Interim Relief,2101006.0,0.0,1.0,1.0,1.98099,1.0,14.0,11.16,11.0,0.0,0.0,,,,
Advertisement,9300,Establishment Expenses,210,Surrender Leave Encashment,2101007.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,5.0,15.0,,,,
Advertisement,9300,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,,,,
Advertisement,9300,Establishment Expenses,210,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,95.0,152.0,,,,
Advertisement,9300,Administrative Expenses,220,"Office Telephone, Mobiles, Faxes and Leased Lines",2201201.0,0.03,0.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,,,,
Total for Advertisement (9300),,,,,,78.71,58.0,54.0,114.32873,54.0,217.0,109.62,187.0,247.75,343.68,,,,
,,,,Total Revenue Expenditure,,131588.86,152900.01,151877.56,137008.166944,188710.94,206000.0,147345.81,173200.0,180326.0,196938.0,,,,
"Note:  The revenue expenditure for 2014-15 (actuals) is given as Rs.1,47,345.12 lakhs in the budget document. The actual expenditure is Rs.1,24,345.81 lakhs. The difference is on account of a totalling error in the budget document.",,,,,,,,,,,,,,,,,,,
